# music_dance timeline v1
# fps=100.227273
# n=14916
# duration_sec=148.822
# wav=V_ZionT_MR.wav
led,motor
0.140985,0.016059
0.261450,0.232352
0.286195,0.374437
0.284196,0.466674
0.281337,0.522138
0.274247,0.531263
0.265386,0.528951
0.256077,0.524197
0.245647,0.516344
0.233442,0.503501
0.221400,0.488071
0.208954,0.469497
0.196488,0.448676
0.184149,0.426037
0.171340,0.400283
0.160682,0.377143
0.152125,0.357116
0.144663,0.337079
0.138212,0.316271
0.136138,0.308690
0.134836,0.302999
0.132227,0.291151
0.129181,0.275618
0.125856,0.254816
0.122803,0.227902
0.120738,0.196848
0.120013,0.166116
0.120000,0.143817
0.129182,0.212326
0.149793,0.279267
0.150344,0.300718
0.147631,0.296432
0.143273,0.285645
0.137143,0.265752
0.130552,0.237576
0.125082,0.204724
0.121675,0.171516
0.121148,0.164973
0.121114,0.167201
0.121135,0.173566
0.121268,0.173561
0.121574,0.181716
0.121726,0.182362
0.121615,0.181504
0.123991,0.203254
0.129793,0.234136
0.152320,0.291791
0.174067,0.346571
0.173714,0.364548
0.169984,0.358739
0.164780,0.348353
0.157852,0.332217
0.150733,0.313282
0.143795,0.292885
0.138368,0.275958
0.137132,0.274396
0.184715,0.351061
0.217817,0.415645
0.215330,0.429956
0.211444,0.428984
0.207547,0.425245
0.207967,0.431388
0.209056,0.440202
0.206729,0.436801
0.201477,0.427679
0.194745,0.415108
0.186968,0.399811
0.177043,0.378264
0.167413,0.356797
0.160588,0.341456
0.155743,0.331028
0.152926,0.325963
0.151645,0.325929
0.155589,0.343239
0.175649,0.378707
0.315159,0.495799
0.504184,0.631949
0.597700,0.739059
0.598747,0.805397
0.584905,0.805176
0.567017,0.799590
0.543138,0.789116
0.509785,0.771445
0.474072,0.749990
0.435222,0.723078
0.394709,0.691416
0.355330,0.657084
0.318554,0.621065
0.285568,0.585038
0.256179,0.549245
0.229882,0.513676
0.207837,0.480280
0.188884,0.447638
0.176736,0.424980
0.188594,0.446462
0.199668,0.467631
0.196508,0.462586
0.192168,0.455952
0.185536,0.444321
0.178946,0.431039
0.172042,0.414976
0.162996,0.392405
0.154315,0.367942
0.147577,0.345300
0.140747,0.319138
0.133784,0.287916
0.128203,0.256059
0.123441,0.216669
0.121096,0.184404
0.120432,0.168568
0.120143,0.156288
0.120070,0.150402
0.125175,0.180737
0.337563,0.381065
0.535573,0.543560
0.635586,0.670183
0.685351,0.768853
0.714447,0.845741
0.734897,0.905655
0.751734,0.952343
0.763864,0.978763
0.767360,0.977941
0.770860,0.977038
0.770913,0.972389
0.759709,0.961158
0.737344,0.942284
0.706134,0.916185
0.660771,0.881009
0.615141,0.844135
0.571201,0.805407
0.517955,0.758369
0.474373,0.716767
0.444488,0.684187
0.417235,0.654373
0.389151,0.622262
0.356605,0.582995
0.319664,0.536842
0.288185,0.492329
0.261701,0.451435
0.240114,0.415220
0.220465,0.377636
0.207104,0.349738
0.199048,0.331437
0.199238,0.328800
0.210752,0.328648
0.206584,0.322629
0.197185,0.307227
0.183158,0.282736
0.170244,0.258380
0.165772,0.250340
0.336354,0.364449
0.598733,0.511889
0.792111,0.645504
0.871731,0.749622
0.870154,0.820517
0.860396,0.847261
0.845609,0.846257
0.838872,0.853727
0.830969,0.853049
0.818714,0.849768
0.807150,0.848457
0.792460,0.846886
0.777277,0.844627
0.757919,0.839535
0.728543,0.827859
0.696272,0.813641
0.664387,0.798210
0.627679,0.777868
0.583279,0.750367
0.536849,0.719469
0.500382,0.694992
0.468436,0.672109
0.435157,0.645643
0.399851,0.615140
0.363949,0.581598
0.326951,0.543670
0.290946,0.503086
0.255545,0.458504
0.222050,0.409993
0.192090,0.358457
0.167159,0.305531
0.148494,0.254951
0.135238,0.206615
0.126579,0.160421
0.122556,0.126761
0.121180,0.110407
0.120680,0.104122
0.129787,0.134905
0.150179,0.184394
0.186091,0.251410
0.196066,0.298666
0.189250,0.294024
0.180309,0.281626
0.170579,0.265100
0.158609,0.240538
0.145963,0.207913
0.133339,0.162427
0.125259,0.118193
0.121118,0.075920
0.120000,0.035521
