frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
97, 0, 3.200, 0.98, 1, 14.9, -36.8, 473.5, 0.030, 0.003, 0.025
98, 0, 3.233, 0.98, 1, 15.0, -36.8, 474.0, 0.032, 0.006, 0.027
99, 0, 3.267, 0.98, 1, 15.0, -36.8, 474.2, 0.030, 0.007, 0.028
100, 0, 3.300, 0.98, 1, 15.6, -37.1, 481.8, 0.037, 0.009, 0.029
101, 0, 3.333, 0.98, 1, 15.8, -37.2, 483.6, 0.037, 0.008, 0.028
102, 0, 3.367, 0.98, 1, 16.0, -37.1, 483.5, 0.039, 0.000, 0.025
103, 0, 3.400, 0.98, 1, 16.1, -37.0, 484.0, 0.033, 0.002, 0.024
104, 0, 3.433, 0.93, 1, 16.2, -36.9, 484.6, 0.029, 0.003, 0.026
105, 0, 3.467, 0.93, 1, 16.2, -36.9, 484.1, 0.025, 0.002, 0.027
106, 0, 3.500, 0.93, 1, 16.2, -37.0, 484.8, 0.022, 0.009, 0.028
107, 0, 3.533, 0.93, 1, 16.3, -37.0, 485.9, 0.017, 0.007, 0.026
108, 0, 3.567, 0.93, 1, 16.4, -36.9, 485.6, 0.016, 0.006, 0.024
109, 0, 3.600, 0.93, 1, 16.4, -36.9, 485.6, 0.015, 0.006, 0.024
110, 0, 3.633, 0.93, 1, 16.4, -36.8, 485.0, 0.012, 0.007, 0.022
111, 0, 3.667, 0.93, 1, 16.4, -36.8, 485.2, 0.008, 0.009, 0.022
112, 0, 3.700, 0.98, 1, 16.4, -36.8, 485.4, 0.010, 0.011, 0.022
113, 0, 3.733, 0.98, 1, 16.4, -36.8, 485.1, 0.010, 0.011, 0.022
114, 0, 3.767, 0.98, 1, 16.5, -37.0, 486.7, 0.006, 0.013, 0.022
115, 0, 3.800, 0.98, 1, 16.5, -36.9, 486.6, 0.001, 0.015, 0.023
116, 0, 3.833, 0.98, 1, 16.4, -36.9, 486.2, 0.001, 0.015, 0.023
117, 0, 3.867, 0.98, 1, 16.2, -36.7, 483.7, 0.000, 0.013, 0.020
118, 0, 3.900, 0.98, 1, 16.2, -37.0, 485.4, -0.005, 0.013, 0.019
119, 0, 3.933, 0.98, 1, 16.2, -37.0, 486.3, -0.009, 0.010, 0.018
120, 0, 3.967, 0.98, 1, 16.3, -37.1, 487.2, -0.011, 0.009, 0.016
121, 0, 4.000, 0.98, 1, 16.2, -37.1, 487.4, -0.008, 0.014, 0.016
122, 0, 4.033, 0.98, 1, 16.2, -37.1, 487.1, -0.008, 0.016, 0.017
123, 0, 4.067, 0.98, 1, 16.0, -37.1, 486.0, -0.006, 0.019, 0.016
124, 0, 4.100, 0.98, 1, 15.9, -37.1, 486.4, -0.008, 0.019, 0.016
125, 0, 4.133, 0.98, 1, 15.9, -37.1, 486.4, -0.008, 0.019, 0.016
126, 0, 4.167, 0.98, 1, 15.9, -37.1, 486.4, -0.009, 0.019, 0.015
127, 0, 4.200, 0.98, 1, 15.9, -37.2, 486.5, -0.009, 0.017, 0.015
128, 0, 4.233, 0.98, 1, 15.9, -37.2, 486.5, -0.007, 0.016, 0.015
129, 0, 4.267, 0.98, 1, 16.0, -37.2, 486.3, -0.009, 0.015, 0.015
130, 0, 4.300, 0.98, 1, 15.9, -37.3, 486.4, -0.011, 0.017, 0.016
131, 0, 4.333, 0.98, 1, 15.9, -37.2, 486.3, -0.011, 0.017, 0.016
132, 0, 4.367, 0.98, 1, 15.9, -37.2, 486.2, -0.008, 0.019, 0.015
133, 0, 4.400, 0.98, 1, 15.9, -37.2, 486.3, -0.009, 0.019, 0.015
134, 0, 4.433, 0.98, 1, 15.7, -37.2, 486.5, -0.007, 0.023, 0.017
135, 0, 4.467, 0.98, 1, 15.8, -37.5, 488.8, -0.009, 0.022, 0.016
136, 0, 4.500, 0.98, 1, 15.8, -37.5, 488.9, -0.009, 0.022, 0.016
137, 0, 4.533, 0.98, 1, 15.8, -37.5, 489.2, -0.011, 0.022, 0.016
138, 0, 4.567, 0.98, 1, 15.8, -37.2, 484.1, -0.003, 0.021, 0.016
139, 0, 4.600, 0.98, 1, 15.9, -37.2, 484.7, -0.003, 0.020, 0.015
140, 0, 4.633, 0.98, 1, 15.9, -37.1, 483.9, -0.004, 0.020, 0.015
141, 0, 4.667, 0.98, 1, 16.0, -37.1, 484.8, -0.005, 0.021, 0.016
142, 0, 4.700, 0.98, 1, 15.9, -37.1, 486.4, -0.006, 0.020, 0.017
143, 0, 4.733, 0.98, 1, 16.0, -37.2, 487.5, -0.004, 0.020, 0.017
144, 0, 4.767, 0.98, 1, 15.9, -37.2, 487.4, 0.000, 0.018, 0.015
145, 0, 4.800, 0.98, 1, 15.9, -37.2, 487.5, 0.002, 0.020, 0.017
146, 0, 4.833, 0.98, 1, 15.9, -37.2, 487.1, 0.004, 0.020, 0.017
147, 0, 4.867, 0.98, 1, 15.9, -37.2, 487.0, 0.003, 0.020, 0.017
148, 0, 4.900, 0.98, 1, 15.9, -37.2, 487.0, 0.002, 0.017, 0.017
149, 0, 4.933, 0.98, 1, 15.9, -37.0, 486.6, 0.004, 0.018, 0.017
150, 0, 4.967, 0.98, 1, 15.9, -37.0, 486.6, 0.005, 0.018, 0.016
151, 0, 5.000, 0.98, 1, 15.8, -37.0, 486.6, 0.004, 0.019, 0.015
152, 0, 5.033, 0.98, 1, 15.8, -37.0, 486.6, 0.005, 0.020, 0.015
153, 0, 5.067, 0.98, 1, 15.8, -37.0, 486.7, 0.004, 0.020, 0.015
154, 0, 5.100, 0.98, 1, 15.8, -36.9, 486.8, 0.003, 0.022, 0.016
155, 0, 5.133, 0.98, 1, 15.8, -36.8, 487.1, -0.001, 0.020, 0.017
156, 0, 5.167, 0.98, 1, 15.7, -36.7, 487.1, -0.003, 0.020, 0.017
157, 0, 5.200, 0.98, 1, 16.0, -36.7, 486.5, 0.001, 0.020, 0.014
158, 0, 5.233, 0.98, 1, 16.0, -36.5, 486.2, 0.005, 0.020, 0.015
159, 0, 5.267, 0.98, 1, 16.0, -36.5, 486.1, 0.006, 0.020, 0.015
160, 0, 5.300, 0.98, 1, 16.0, -36.4, 486.1, 0.009, 0.021, 0.015
161, 0, 5.333, 0.98, 1, 16.0, -36.4, 486.1, 0.010, 0.021, 0.016
162, 0, 5.367, 0.98, 1, 16.0, -36.5, 486.8, 0.010, 0.021, 0.016
163, 0, 5.400, 0.98, 1, 16.0, -36.4, 486.8, 0.008, 0.021, 0.016
164, 0, 5.433, 0.98, 1, 16.0, -36.4, 486.9, 0.006, 0.021, 0.016
